iter	Passed	Remaining
0	56	55971
1	111	55468
2	163	54325
3	213	53134
4	265	52768
5	318	52820
6	382	54322
7	454	56347
8	508	56013
9	563	55828
10	628	56503
11	678	55840
12	726	55157
13	783	55201
14	835	54876
15	882	54257
16	937	54215
17	997	54401
18	1062	54873
19	1114	54629
20	1174	54769
21	1273	56605
22	1340	56923
23	1394	56708
24	1448	56477
25	1499	56167
26	1555	56049
27	1609	55889
28	1675	56089
29	1735	56127
30	1789	55935
31	1855	56125
32	1914	56104
33	1975	56128
34	2027	55887
35	2079	55684
36	2133	55525
37	2193	55528
38	2252	55502
39	2311	55468
40	2381	55700
41	2446	55810
42	2524	56182
43	2599	56475
44	2661	56473
45	2738	56794
46	2808	56946
47	2884	57201
48	2940	57077
49	3007	57144
50	3063	57009
51	3124	56969
52	3184	56905
53	3256	57052
54	3332	57256
55	3392	57180
56	3455	57175
57	3523	57225
58	3588	57231
59	3648	57166
60	3713	57162
61	3786	57284
62	3875	57640
63	3948	57744
64	4017	57794
65	4084	57803
66	4146	57744
67	4210	57714
68	4274	57677
69	4345	57729
70	4411	57717
71	4478	57723
72	4543	57691
73	4609	57680
74	4662	57506
75	4726	57467
76	4788	57405
77	4849	57325
78	4920	57360
79	4985	57337
80	5042	57211
81	5105	57151
82	5168	57103
83	5230	57038
84	5292	56967
85	5353	56897
86	5414	56826
87	5487	56867
88	5559	56906
89	5623	56863
90	5689	56834
91	5756	56813
92	5823	56795
93	5885	56728
94	5948	56665
95	6009	56586
96	6071	56521
97	6134	56459
98	6194	56375
99	6263	56370
100	6342	56455
101	6414	56477
102	6483	56461
103	6550	56431
104	6608	56330
105	6678	56323
106	6746	56301
107	6817	56306
108	6883	56271
109	6943	56177
110	7008	56127
111	7072	56073
112	7133	55991
113	7191	55890
114	7257	55850
115	7318	55774
116	7379	55691
117	7441	55620
118	7501	55538
119	7563	55464
120	7621	55369
121	7678	55257
122	7737	55166
123	7793	55059
124	7847	54935
125	7913	54892
126	7968	54777
127	8028	54691
128	8086	54602
129	8133	54429
130	8197	54376
131	8260	54322
132	8334	54333
133	8394	54250
134	8455	54178
135	8523	54151
136	8591	54117
